idx,company,address,tax1,tax2,tax3,website,lat,lng
96,Superhero Recycling,CA,Circular Economy,Materials,Carbon/CCUS,,,
97,"Aquagga, Inc.",WA,Water/Wave/Hydro,Enabling Technologies/Components,Environmental Remediation,,,
98,n/a OWS turbine system,TX,Wind,Enabling Technologies/Components,,,,
99,n/a power module,VA,Enabling Technologies/Components,Chemistry,Power Electronics,,,
100,MycoHAB / Sprouting Shelters,"Cambridge, MA",Materials,Built Environment/Construction,Environmental Remediation,https://www.mycohab.com/,,
101,Salient Predictions,"Boston, MA",IoT/IIoT,,Evaluation/Compliance,https://www.salientpredictions.com/,,
102,ClimateAI,"San Franciso, CA",IoT/IIoT,Evaluation/Compliance,,https://climate.ai/,,
103,Federato,"Stanford, CA",IoT/IIoT,Finance,Insurance,https://tomkat.stanford.edu/innovation-transfer/federato,,
104,HighTide,"Stuart, FL",IoT/IIoT,Environmental Remediation,Water/Wave/Hydro,https://hightide.ai/,,
105,Conduit Tech,"Somerville, MA ",IoT/IIoT,Thermal/Geothermal,Energy Efficiency,https://www.getconduit.com/,,
106,IRCool Textiles,"Stanford, CA",Thermal/Geothermal,Materials,,https://tomkat.stanford.edu/innovation-transfer/ircool-textiles,,
107,Kit Switch,"San Franciso, CA",Built Environment/Construction,Circular Economy,,https://tomkat.stanford.edu/innovation-transfer/kitswitch,,
108,Lasso,"San Francisco, CA",IoT/IIoT,Environmental Remediation,Ag/Food-tech,https://joinlasso.com/,,
109,PeroPure,"Zhejiang, China",Enabling Technologies/Components,Water/Wave/Hydro,Environmental Remediation,https://peropure.com/,,
110,Pulsar,"Palo Alto, CA",IoT/IIoT,Manufacturing,Enabling Technologies/Components,https://www.pulsarml.com/#,,
111,ReGen Partners,"Nyack, NY",Environmental Remediation,Finance,,https://regenerativeresources.co/,,
112,ReMatter,"Standford, CA",IoT/IIoT,Circular Economy,Environmental Remediation,https://rematter.com/,,
113,Renewell Energy,"Bakersfield, CA",Storage/Batteries,Built Environment/Construction,Circular Economy,https://renewellenergy.com/,,
